Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6726
Base Time Seconds,1731599641
Base Time Fractional,.812043560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
57,157.7895662369,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.440075360
58,157.7823881983,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999306201935,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.522725640
59,157.7748704978,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.605357400
60,157.7669780042,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999308586121,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.687999520
61,157.7594313688,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.770636120
62,157.7522025091,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.853291500
63,157.7449353795,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.935934140
64,157.7376514356,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999287128448,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.018590080
65,157.7300523201,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.101243180
66,157.7227625341,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.183889600
67,157.7156253443,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.266523660
68,157.7084020193,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.349160080
69,157.7010157111,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999303817749,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.431803840
70,157.6941035303,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.514457220
71,157.687050141,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.597090740
72,157.6798163478,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.679721720
73,157.6731317023,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999291896820,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.762365580
74,157.6658413116,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999296665192,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.845005360
75,157.6585415133,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:07,.927653760
76,157.6517472894,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.010308820
77,157.6450462351,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.092935100
78,157.6382155891,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.175591440
79,157.6308806711,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.258233700
80,157.6243332792,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.340873640
81,157.6174697161,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.423513920
82,157.6104794314,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999303817749,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.506157100
83,157.6037168317,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.588813180
84,157.5974608364,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.671451640
85,157.5905330957,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.754083860
86,157.5840078244,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.836741580
87,157.577263392,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:08,.919386080
88,157.5706640443,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.002028860
89,157.563797893,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.084674120
90,157.5569077941,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.167317960
91,157.550956036,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.249953640
92,157.5446305226,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999289512634,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.332595160
93,157.5376351911,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.415230520
94,157.532173137,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999282360077,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.497867840
95,157.5251716951,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.580508800
96,157.5190591201,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.663140060
97,157.5127159475,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.745790320
98,157.5065032607,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:09,.828442220
